x,y,Cp,-Cp,Cp_inf_0.5,Cp_inf_0.6,Cp_inf_0.7,Cp_inf_0.8,Cp_inf_0.9
1.0,0.00126,0.42147,-0.42147,0.48667163591070317,0.5268375,0.5901760470152854,0.7024500000000001,0.9669184935442569
0.99392,0.00292,0.23436,-0.23436,0.2706156181745614,0.29295,0.3281696404928044,0.3906000000000001,0.5376587138990487
0.98333,0.00577,0.15302,-0.15302,0.17669227638279306,0.19127499999999997,0.21427085845796606,0.2550333333333334,0.3510519559687337
0.97098,0.00904,0.08696,-0.08696,0.10041275881745972,0.10869999999999999,0.12176835610707573,0.14493333333333336,0.19949992217384055
0.95718,0.01262,0.03219,-0.03219,0.03716981033042811,0.0402375,0.04507501590486164,0.05365000000000002,0.07384892473293385
0.94237,0.01638,-0.01558,0.01558,-0.01799023438794874,-0.019475,-0.021816363709156395,-0.025966666666666673,-0.03574297133703353
0.92696,0.02021,-0.05851,0.05851,-0.06756152850057001,-0.0731375,-0.08193038771647886,-0.09751666666666668,-0.13423114588766571
0.91123,0.02403,-0.09732,0.09732,-0.11237545639506877,-0.12165,-0.13627525777760593,-0.16220000000000004,-0.22326739220283076
0.89533,0.0278,-0.13289,0.13289,-0.15344815454521876,-0.1661125,-0.18608322036648223,-0.2214833333333334,-0.3048705687405896
0.87933,0.03149,-0.16641,0.16641,-0.19215371659169125,-0.2080125,-0.23302060878310113,-0.27735000000000004,-0.3817707227340019
0.86327,0.03511,-0.1973,0.1973,-0.22782241622222635,-0.24662499999999998,-0.27627526057872637,-0.3288333333333334,-0.45263724292661844
0.84718,0.03864,-0.22693,0.22693,-0.2620361931744036,-0.2836625,-0.3177655594684763,-0.37821666666666676,-0.5206131248724659
0.83106,0.04208,-0.25497,0.25497,-0.29441399627055775,-0.31871249999999995,-0.35702941302462166,-0.42495000000000005,-0.5849412966497713
0.81492,0.04544,-0.28203,0.28203,-0.3256601928391003,-0.3525375,-0.39492099209841963,-0.47005000000000013,-0.6470211942351455
0.79875,0.0487,-0.30766,0.30766,-0.35525516763776055,-0.38457499999999994,-0.4308101706520575,-0.5127666666666668,-0.7058204468261704
0.78258,0.05188,-0.3329,0.3329,-0.38439980922645284,-0.41612499999999997,-0.46615323997292446,-0.5548333333333334,-0.7637249780551002
0.76638,0.05496,-0.35761,0.35761,-0.4129324595298041,-0.4470125,-0.5007541608492566,-0.5960166666666668,-0.8204136058945161
0.75017,0.05796,-0.38144,0.38144,-0.4404489733593817,-0.4768,-0.5341228352516441,-0.6357333333333335,-0.875083375275871
